"","x"
"GTEX-16AAH-1926-SM-7LG4C",1
"GTEX-12WSE-1126-SM-7DUEH",1
"GTEX-13O21-2926-SM-5J1OU",1
"GTEX-11DXZ-2626-SM-59882",1
"GTEX-15SHV-0826-SM-7KUFA",1
"GTEX-1LBAC-0526-SM-D3L9S",1
"GTEX-OHPK-0426-SM-3MJH3",1
"GTEX-YFC4-0326-SM-4TT3U",1
"GTEX-P78B-0826-SM-3NMCA",1
"GTEX-12WSL-2626-SM-5GCNV",1
"GTEX-14B4R-2026-SM-5QGQL",1
"GTEX-1R9K4-1126-SM-E9J4G",5
"GTEX-14AS3-0526-SM-5QGQQ",1
"GTEX-13D11-1426-SM-5K7Y9",1
"GTEX-ZAB4-0526-SM-5HL7Z",1
"GTEX-Y8E4-0226-SM-4VBQ3",1
"GTEX-11EM3-0226-SM-5985Y",1
"GTEX-13O1R-1026-SM-5KM2L",1
"GTEX-13G51-2926-SM-5IJDL",1
"GTEX-147F4-0126-SM-5QGPV",1
"GTEX-XQ3S-0126-SM-4BOO9",1
"GTEX-1HCU8-1526-SM-ADEHG",1
"GTEX-ZYFG-0126-SM-5GIDH",1
"GTEX-113IC-0426-SM-5HL5O",1
"GTEX-1H3NZ-1226-SM-9MQKT",1
"GTEX-OHPN-0426-SM-E9TI6",1
"GTEX-1R7EV-1026-SM-DTX81",1
"GTEX-1LG7Y-0426-SM-DKPQB",1
"GTEX-1F52S-0226-SM-7SB7U",1
"GTEX-1I1GQ-1026-SM-CNNQS",1
"GTEX-ZVP2-0226-SM-57WBD",1
"GTEX-1128S-2126-SM-5H12U",1
"GTEX-1HKZK-1726-SM-ADEJ9",4
"GTEX-1HCU8-0726-SM-ADEIR",1
"GTEX-13N1W-1226-SM-5K7UM",1
"GTEX-1JKYN-0526-SM-CGQG3",1
"GTEX-1NV5F-2526-SM-EXUSK",1
"GTEX-16NGA-1826-SM-7LG5L",1
"GTEX-13X6I-1526-SM-5SIAC",1
"GTEX-11P81-2426-SM-5GU65",1
"GTEX-1IY9M-0226-SM-CMKHP",1
"GTEX-1I1GV-0426-SM-ARZLX",1
"GTEX-1B8KZ-1926-SM-7DUG8",1
"GTEX-14ICK-0326-SM-6LLIZ",1
"GTEX-13S86-0926-SM-5SI6I",1
"GTEX-11O72-0226-SM-59869",1
"GTEX-1HCU6-0226-SM-CGQES",1
"GTEX-QEG5-0326-SM-2S1PB",1
"GTEX-1S82P-0226-SM-E6CI6",1
"GTEX-1497J-2326-SM-5NQBK",1
"GTEX-111YS-2426-SM-5GZZQ",1
"GTEX-1EMGI-0226-SM-9MQL1",1
"GTEX-1GMR8-0226-SM-9YFL3",1
"GTEX-1HR9M-0226-SM-COH3E",1
"GTEX-1128S-0926-SM-5GZZU",1
"GTEX-1IDJU-2526-SM-CMKGF",1
"GTEX-147F3-0626-SM-5NQ9I",1
"GTEX-12BJ1-0826-SM-5EQ5P",4
"GTEX-1ICLZ-0226-SM-CKZPP",1
"GTEX-18A7A-0326-SM-731AT",1
"GTEX-1AMEY-1426-SM-7939I",1
"GTEX-1GN73-0326-SM-9KNTW",1
"GTEX-11PRG-0626-SM-5BC56",1
"GTEX-1LG7Z-2026-SM-DLHBP",1
"GTEX-WOFM-0726-SM-3MJF8",1
"GTEX-11EQ8-0226-SM-5EQ5G",1
"GTEX-13NZA-0126-SM-5K7UH",1
"GTEX-1GF9W-1026-SM-7SB8X",1
"GTEX-1I4MK-0726-SM-ACKWC",1
"GTEX-1H23P-0226-SM-9YFLO",1
"GTEX-1PDJ9-0426-SM-E9J3E",1
"GTEX-1I19N-0426-SM-ACKVY",1
"GTEX-1AYD5-2326-SM-73KXF",1
"GTEX-ZA64-0926-SM-5HL7H",1
"GTEX-1R9PM-2126-SM-E8VOB",1
"GTEX-OXRL-0226-SM-3NB18",1
"GTEX-18D9U-0726-SM-7LG5J",1
"GTEX-1A8G6-2026-SM-73KYC",1
"GTEX-17MFQ-1826-SM-7DHLS",1
"GTEX-1QEPI-0226-SM-EWRMR",1
"GTEX-ZPCL-2126-SM-57WFZ",1
"GTEX-11GS4-2626-SM-5A5LD",1
"GTEX-1I6K6-0226-SM-ADEID",1
"GTEX-W5WG-2526-SM-4SOJ2",1
"GTEX-12WSC-1726-SM-5GCN3",1
"GTEX-Y5V5-2426-SM-5IFJA",1
"GTEX-13N2G-1926-SM-5J1O3",1
"GTEX-1IDJH-1626-SM-A9SLP",1
"GTEX-1MUQO-0826-SM-EVYCZ",1
"GTEX-18D9U-0426-SM-731AN",1
"GTEX-Y3I4-0726-SM-E9J3Y",1
"GTEX-1212Z-2426-SM-5EQ5D",1
"GTEX-131XF-2226-SM-5EQKG",1
"GTEX-13U4I-0226-SM-5SIB1",1
"GTEX-17F9Y-0726-SM-7LT9G",1
"GTEX-1JKYN-1226-SM-CGQG8",1
"GTEX-1CB4J-1126-SM-7PBY1",1
"GTEX-1GF9U-1226-SM-ARL9I",1
"GTEX-1CAMR-1826-SM-7MXUJ",1
"GTEX-1B933-1326-SM-7939U",1
"GTEX-13N1W-0226-SM-5K7W6",1
"GTEX-1GL5R-0726-SM-9MQL5",1
"GTEX-133LE-1926-SM-5N9FV",1
"GTEX-1I1CD-0226-SM-CM2TL",1
"GTEX-TMZS-0226-SM-3DB9N",1
"GTEX-13SLW-0226-SM-5S2NA",1
"GTEX-1L5NE-2626-SM-E9U6P",1
"GTEX-17HHY-1026-SM-7LG5E",1
"GTEX-ZF2S-1526-SM-5S2OO",1
"GTEX-ZDTS-0226-SM-5HL7Q",1
"GTEX-ZDYS-2226-SM-5S2MI",1
"GTEX-1PIIG-0326-SM-EVYBV",1
"GTEX-1HSEH-0226-SM-ACKVV",1
"GTEX-18D9A-2026-SM-718BL",1
"GTEX-1HBPN-1526-SM-9WYSB",1
"GTEX-1F6RS-0226-SM-9MQKO",1
"GTEX-ZC5H-1626-SM-5HL7L",1
"GTEX-R45C-0226-SM-EVYAJ",1
"GTEX-1B97J-1126-SM-7SB79",1
