Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
GTEX-1F48J-2726-SM-7P8PW,GTEX-UPK5-1226-SM-4IHL8,,,GTEX-1MJIX-0426-SM-DTXEN,GTEX-XUYS-0005-SM-47JZ2,,,
GTEX-1JJEA-0011-R11a-SM-EXUTE,GTEX-13OVI-2626-SM-5KM4T,,,GTEX-13X6J-1226-SM-79OMF,GTEX-14PHW-0005-SM-9KNTK,,,
GTEX-14E7W-2926-SM-5S2R8,GTEX-1QP9N-0926-SM-E9U5S,,,GTEX-12BJ1-0326-SM-5FQUB,GTEX-1F7RK-0006-SM-ACKV4,,,
GTEX-13SLX-0011-R4a-SM-5O9BJ,GTEX-1RAZS-2626-SM-EV79C,,,GTEX-15CHC-0326-SM-5ZZVP,GTEX-UPJH-0006-SM-3GACW,,,
GTEX-13OVJ-0011-R8b-SM-5L3FS,GTEX-T6MO-0526-SM-4DM6R,,,GTEX-N7MS-0826-SM-2HML4,GTEX-1I1CD-0005-SM-ADEGY,,,
GTEX-1E1VI-0011-R5b-SM-9WG5V,GTEX-SJXC-1426-SM-EYYVB,,,GTEX-1GF9V-1726-SM-9KNW4,GTEX-1IKK5-0006-SM-CMKFI,,,
GTEX-15DCD-0011-R8b-SM-7KUEF,GTEX-11P82-0526-SM-5986P,,,GTEX-11GSP-1326-SM-5A5KY,GTEX-1EH9U-0005-SM-ACKV3,,,
GTEX-1IKK5-0011-R3b-SM-C1YRY,GTEX-OXRP-0926-SM-48TC1,,,GTEX-1IKJJ-0826-SM-A96SP,GTEX-14ICK-0006-SM-5NQB5,,,
GTEX-14E7W-0011-R3b-SM-5YYB5,GTEX-13O61-0926-SM-5IFFE,,,GTEX-14A6H-0226-SM-5Q5DX,,,,
GTEX-T6MN-0011-R10A-SM-32QP7,GTEX-13111-0826-SM-5LZV3,,,GTEX-1GMR3-0426-SM-7PC17,,,,
GTEX-15CHQ-0011-R1a-SM-COH27,GTEX-RWS6-0826-SM-47JXF,,,GTEX-1HC8U-0626-SM-B2LWB,,,,
GTEX-11EI6-2926-SM-5985U,GTEX-1CB4J-2426-SM-7MXVC,,,GTEX-13D11-1726-SM-5IFGQ,,,,
GTEX-1R46S-0011-R7b-SM-EXUTH,GTEX-1LBAC-1226-SM-DHXK1,,,GTEX-ZPCL-0426-SM-DNZZ4,,,,
