Cluster 1,Cluster 2,Cluster 3,Cluster 4
,,GTEX-1R9PO-0226-SM-E6CHS,GTEX-146FH-2026-SM-5SI9I
,,GTEX-WFON-2526-SM-3LK7P,GTEX-1LVAN-0126-SM-COH4H
,,GTEX-1HSGN-1026-SM-CNPQ1,GTEX-12WSD-0226-SM-59HKO
,,GTEX-PSDG-1026-SM-48TCV,GTEX-ZPU1-2426-SM-4WWFM
,,GTEX-1F5PL-0526-SM-7PBYD,GTEX-15SKB-1626-SM-6PAL6
,,GTEX-1B8KZ-2226-SM-73KYS,GTEX-14PJ2-1426-SM-62LFF
,,GTEX-1NSGN-0526-SM-E9J34,GTEX-13S7M-0226-SM-5S2UG
,,GTEX-QV44-2226-SM-447A3,GTEX-ZV68-0226-SM-59HJF
,,GTEX-11GS4-2926-SM-5A5LF,GTEX-ZQUD-0526-SM-57WG4
,,GTEX-1CB4E-0426-SM-7PBY5,GTEX-1I1CD-0226-SM-CM2TL
,,GTEX-1339X-2626-SM-5K7YX,GTEX-ZGAY-0626-SM-DO92E
,,GTEX-1LVAN-0426-SM-CNPPD,GTEX-1A3MX-0826-SM-72D64
,,GTEX-1399S-0926-SM-5PNVQ,GTEX-13QBU-1326-SM-5LU4K
,,GTEX-XBED-2426-SM-4AT4O,GTEX-12584-0226-SM-5EQL5
,,GTEX-1AX8Z-1426-SM-7939T,GTEX-1GMR3-2026-SM-9MQLG
,,GTEX-1HSKV-0626-SM-CNPPL,GTEX-12126-0426-SM-5Q5AP
,,GTEX-1GF9X-1826-SM-7PC3X,GTEX-12ZZZ-0526-SM-5DUX6
,,GTEX-1J1R8-0826-SM-ACKWP,GTEX-16BQI-0526-SM-6PAM8
,,GTEX-15SHV-0826-SM-7KUFA,GTEX-1GF9U-1226-SM-ARL9I
,,GTEX-1C64O-1026-SM-7PC3L,GTEX-14A5H-0526-SM-5TDCN
,,GTEX-ZAK1-0426-SM-5J1MS,GTEX-1POEN-1626-SM-EVYC2
,,GTEX-U3ZN-2526-SM-3DB7V,GTEX-14C5O-0926-SM-793DM
,,GTEX-1CB4E-0726-SM-7EWEY,GTEX-XMK1-0926-SM-4B66X
,,GTEX-14BIN-0926-SM-5S2OZ,GTEX-1HSMO-1426-SM-CNNQN
,,GTEX-S3XE-0326-SM-4AD6L,GTEX-1JJ6O-2826-SM-CNNP7
,,GTEX-YFC4-0926-SM-5S2U7,GTEX-17MFQ-1126-SM-7LT9O
,,GTEX-1QCLY-0626-SM-EAZ3Y,GTEX-14PJ6-2226-SM-6LLIV
,,GTEX-1HSMP-0526-SM-B2LXI,GTEX-1HB9E-0526-SM-ARZNM
,,GTEX-15CHC-0526-SM-6EU23,GTEX-1HR98-0226-SM-CGQEK
,,GTEX-13PLJ-0526-SM-5K7VW,GTEX-1B8KZ-1026-SM-73KYN
,,GTEX-1JK1U-0426-SM-CYPSP,GTEX-1B8SG-0226-SM-7939Q
,,GTEX-1GMR2-1126-SM-7RHI6,GTEX-1EKGG-1426-SM-7PBY2
,,GTEX-1GMR3-2326-SM-7SB94,GTEX-1HSKV-0326-SM-ADEJC
,,GTEX-12WSM-0526-SM-5GCO8,GTEX-XPVG-2726-SM-4B66W
,,GTEX-11P81-2726-SM-59876,GTEX-1E2YA-0226-SM-9MQLY
,,GTEX-1HCU6-0426-SM-CM2SI,GTEX-111YS-2426-SM-5GZZQ
,,GTEX-O5YT-1826-SM-32PK9,GTEX-1S5ZA-1026-SM-EWRO2
,,GTEX-S4P3-0326-SM-4AD6P,GTEX-14DAR-0426-SM-664MW
,,GTEX-11EMC-0926-SM-59863,GTEX-1GF9X-1926-SM-ADEIC
,,GTEX-SSA3-0226-SM-32QPN,GTEX-ZF29-0826-SM-5S2O2
,,GTEX-1F6I4-0226-SM-9MQMA,GTEX-1HCU9-0626-SM-ACKW6
,,GTEX-QEL4-0326-SM-3GAE5,GTEX-17F9Y-0726-SM-7LT9G
,,GTEX-1A8FM-0126-SM-7SB7P,GTEX-1AX9J-0326-SM-73KXY
,,GTEX-1AMEY-1426-SM-7939I,GTEX-1QW4Y-0826-SM-DTXE1
,,GTEX-1EU9M-0326-SM-7RHGF,GTEX-1JKYR-1226-SM-CM2S7
,,GTEX-WEY5-1926-SM-3GIL8,GTEX-14E1K-0426-SM-5S2PF
,,GTEX-UJHI-1626-SM-3DB9A,GTEX-ZF3C-0226-SM-4WWB3
,,GTEX-1JJ6O-0226-SM-E6CI9,GTEX-12WSF-1526-SM-6PAN6
,,GTEX-1PPH8-0626-SM-EWRN9,GTEX-1MA7X-1026-SM-DKPQ8
,,GTEX-X638-0226-SM-47JZ9,GTEX-1S82P-0226-SM-E6CI6
,,GTEX-1JJEA-0226-SM-COH2X,GTEX-15ER7-0426-SM-6PAM3
,,GTEX-1JMQK-0126-SM-CM2S3,GTEX-1399R-2626-SM-5KLZ7
,,GTEX-1GMR2-2526-SM-9MQKW,GTEX-ZDTS-1826-SM-5S2N6
,,GTEX-1C64N-1326-SM-7SB7D,GTEX-13O3P-0226-SM-5KM3Z
,,GTEX-1JJE9-1226-SM-CNPOI,GTEX-11ONC-2026-SM-5HL61
,,GTEX-13O21-1526-SM-5K7W4,GTEX-R55D-1826-SM-48FEF
,,GTEX-111FC-0226-SM-5N9B8,GTEX-1QCLY-2026-SM-EVR4C
,,GTEX-R45C-0226-SM-EVYAJ,GTEX-17HHE-1826-SM-79OKE
,,GTEX-1B996-0126-SM-7PBYF,GTEX-15UF6-2726-SM-7KULY
,,GTEX-RWSA-0226-SM-2XCBA,GTEX-15G1A-1826-SM-7KUKO
,,GTEX-144GM-1926-SM-5LUAN,GTEX-VJYA-2126-SM-4KL1O
,,GTEX-11WQC-2426-SM-5EQKQ,GTEX-1HCU7-2626-SM-C1YQO
,,GTEX-1H2FU-0226-SM-9YFKO,GTEX-TML8-1326-SM-4DXTO
