"","x"
"GTEX-ZV68-0226-SM-59HJF",4
"GTEX-ZQUD-0526-SM-57WG4",4
"GTEX-X638-0226-SM-47JZ9",4
"GTEX-1JJEA-0226-SM-COH2X",4
"GTEX-1JMQK-0126-SM-CM2S3",4
"GTEX-1I1CD-0226-SM-CM2TL",4
"GTEX-ZGAY-0626-SM-DO92E",4
"GTEX-1GMR2-2526-SM-9MQKW",4
"GTEX-1A3MX-0826-SM-72D64",4
"GTEX-1C64N-1326-SM-7SB7D",78
"GTEX-13QBU-1326-SM-5LU4K",4
"GTEX-1JJE9-1226-SM-CNPOI",4
"GTEX-13O21-1526-SM-5K7W4",4
"GTEX-12584-0226-SM-5EQL5",4
"GTEX-111FC-0226-SM-5N9B8",4
"GTEX-1GMR3-2026-SM-9MQLG",4
"GTEX-12126-0426-SM-5Q5AP",4
"GTEX-R45C-0226-SM-EVYAJ",4
"GTEX-12ZZZ-0526-SM-5DUX6",4
"GTEX-16BQI-0526-SM-6PAM8",4
"GTEX-1GF9U-1226-SM-ARL9I",4
"GTEX-1B996-0126-SM-7PBYF",4
"GTEX-14A5H-0526-SM-5TDCN",83
"GTEX-RWSA-0226-SM-2XCBA",4
"GTEX-1POEN-1626-SM-EVYC2",4
"GTEX-14C5O-0926-SM-793DM",4
"GTEX-XMK1-0926-SM-4B66X",4
"GTEX-144GM-1926-SM-5LUAN",4
"GTEX-11WQC-2426-SM-5EQKQ",4
"GTEX-1H2FU-0226-SM-9YFKO",4
"GTEX-1HSMO-1426-SM-CNNQN",4
"GTEX-1JJ6O-2826-SM-CNNP7",4
"GTEX-17MFQ-1126-SM-7LT9O",4
"GTEX-14PJ6-2226-SM-6LLIV",4
"GTEX-1HB9E-0526-SM-ARZNM",63
"GTEX-Y111-0226-SM-4SOIW",4
"GTEX-1HR98-0226-SM-CGQEK",4
"GTEX-1B8KZ-1026-SM-73KYN",84
"GTEX-1HCU7-2026-SM-A9G2B",4
"GTEX-1B8SG-0226-SM-7939Q",4
"GTEX-1EKGG-1426-SM-7PBY2",4
"GTEX-1HSKV-0326-SM-ADEJC",4
"GTEX-XPVG-2726-SM-4B66W",4
"GTEX-18465-0226-SM-7LG5M",4
"GTEX-1E2YA-0226-SM-9MQLY",4
"GTEX-1HBPI-1426-SM-B2LW7",4
"GTEX-111YS-2426-SM-5GZZQ",4
"GTEX-1S5ZA-1026-SM-EWRO2",4
"GTEX-14DAR-0426-SM-664MW",4
"GTEX-1GF9X-1926-SM-ADEIC",4
"GTEX-ZF29-0826-SM-5S2O2",4
"GTEX-1HCU9-0626-SM-ACKW6",4
"GTEX-16AAH-2026-SM-7LG5F",4
"GTEX-17F9Y-0726-SM-7LT9G",4
