MEmidnightblue,MEred,MEgreen,MEblack,MEblue,MEsalmon,MEturquoise,MEcyan,MEbrown,MEtan,MEgreenyellow,MEpink,MEyellow,MEmagenta,MEpurple,MEgrey
,,,,ENSG00000230104,,ENSG00000181924,,,,,ENSG00000138134,,,,ENSG00000276103
,,,,ENSG00000151025,,ENSG00000249485,,,,,ENSG00000112159,,,,ENSG00000279233
,,,,ENSG00000239805,,ENSG00000128973,,,,,ENSG00000246089,,,,ENSG00000168944
,,,,ENSG00000259425,,ENSG00000179523,,,,,ENSG00000164180,,,,ENSG00000150977
,,,,ENSG00000083807,,ENSG00000255857,,,,,ENSG00000172890,,,,ENSG00000184743
,,,,ENSG00000160469,,ENSG00000043514,,,,,ENSG00000167699,,,,ENSG00000197054
,,,,ENSG00000175874,,ENSG00000197702,,,,,ENSG00000163902,,,,ENSG00000185187
,,,,ENSG00000185774,,ENSG00000102226,,,,,ENSG00000183850,,,,ENSG00000203780
,,,,ENSG00000279138,,ENSG00000152348,,,,,ENSG00000146872,,,,ENSG00000276728
,,,,ENSG00000105255,,ENSG00000116580,,,,,ENSG00000108064,,,,ENSG00000262663
,,,,ENSG00000078018,,ENSG00000255893,,,,,ENSG00000133119,,,,ENSG00000129315
,,,,ENSG00000159784,,ENSG00000116903,,,,,ENSG00000132286,,,,ENSG00000197226
,,,,ENSG00000198756,,ENSG00000051009,,,,,ENSG00000071994,,,,ENSG00000248734
,,,,ENSG00000269873,,ENSG00000134255,,,,,ENSG00000189308,,,,ENSG00000223547
,,,,ENSG00000125841,,ENSG00000236383,,,,,ENSG00000256294,,,,ENSG00000258727
,,,,ENSG00000232560,,ENSG00000083750,,,,,ENSG00000167395,,,,ENSG00000125304
,,,,ENSG00000163406,,ENSG00000111962,,,,,ENSG00000119599,,,,ENSG00000185829
,,,,ENSG00000215162,,ENSG00000249264,,,,,ENSG00000180185,,,,ENSG00000140750
,,,,ENSG00000262873,,ENSG00000011143,,,,,ENSG00000170522,,,,ENSG00000187824
,,,,ENSG00000152822,,ENSG00000001617,,,,,ENSG00000137656,,,,ENSG00000125944
,,,,ENSG00000083067,,ENSG00000163867,,,,,ENSG00000183010,,,,ENSG00000214455
,,,,ENSG00000235108,,ENSG00000135336,,,,,ENSG00000142444,,,,ENSG00000128159
,,,,ENSG00000231738,,ENSG00000130382,,,,,ENSG00000278527,,,,ENSG00000149541
,,,,ENSG00000279123,,ENSG00000267731,,,,,ENSG00000106263,,,,ENSG00000100201
,,,,ENSG00000145428,,ENSG00000272720,,,,,ENSG00000177084,,,,ENSG00000222448
,,,,ENSG00000157890,,ENSG00000156398,,,,,ENSG00000149346,,,,ENSG00000151576
,,,,ENSG00000108947,,ENSG00000163354,,,,,ENSG00000248243,,,,ENSG00000228653
,,,,ENSG00000166793,,ENSG00000155827,,,,,ENSG00000227500,,,,ENSG00000232901
,,,,ENSG00000231764,,ENSG00000104375,,,,,ENSG00000125651,,,,ENSG00000168538
,,,,ENSG00000165066,,ENSG00000158270,,,,,ENSG00000172869,,,,ENSG00000183291
,,,,ENSG00000137252,,ENSG00000178222,,,,,ENSG00000265415,,,,ENSG00000261056
,,,,ENSG00000257159,,ENSG00000104205,,,,,ENSG00000110696,,,,ENSG00000196597
,,,,ENSG00000225172,,ENSG00000165121,,,,,ENSG00000212232,,,,ENSG00000174788
,,,,ENSG00000274762,,ENSG00000266993,,,,,ENSG00000196367,,,,ENSG00000197822
,,,,ENSG00000264791,,ENSG00000262692,,,,,ENSG00000183431,,,,ENSG00000259232
,,,,,,ENSG00000105722,,,,,ENSG00000137309,,,,ENSG00000079432
,,,,,,ENSG00000185112,,,,,ENSG00000154165,,,,ENSG00000154814
,,,,,,ENSG00000260552,,,,,ENSG00000185246,,,,ENSG00000278921
,,,,,,ENSG00000260708,,,,,ENSG00000170248,,,,ENSG00000255423
,,,,,,ENSG00000147862,,,,,ENSG00000136824,,,,ENSG00000163877
,,,,,,ENSG00000130818,,,,,ENSG00000165819,,,,ENSG00000175387
,,,,,,ENSG00000107833,,,,,ENSG00000110104,,,,ENSG00000214078
,,,,,,ENSG00000178202,,,,,ENSG00000155506,,,,ENSG00000215915
,,,,,,ENSG00000214176,,,,,ENSG00000172171,,,,ENSG00000147421
,,,,,,ENSG00000176148,,,,,ENSG00000103043,,,,ENSG00000196312
,,,,,,ENSG00000272807,,,,,ENSG00000126391,,,,ENSG00000200779
,,,,,,ENSG00000071655,,,,,ENSG00000165417,,,,ENSG00000134644
,,,,,,ENSG00000204604,,,,,ENSG00000281649,,,,ENSG00000246067
,,,,,,ENSG00000224014,,,,,ENSG00000132436,,,,ENSG00000277245
,,,,,,ENSG00000233885,,,,,ENSG00000221164,,,,ENSG00000075275
,,,,,,ENSG00000143303,,,,,ENSG00000198918,,,,ENSG00000254433
,,,,,,ENSG00000223374,,,,,ENSG00000197275,,,,ENSG00000235513
,,,,,,ENSG00000144935,,,,,ENSG00000131019,,,,ENSG00000204519
,,,,,,ENSG00000133392,,,,,ENSG00000231305,,,,ENSG00000255026
,,,,,,ENSG00000276772,,,,,ENSG00000118939,,,,ENSG00000123737
,,,,,,ENSG00000176225,,,,,ENSG00000278619,,,,ENSG00000167491
