Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
GTEX-11P7K-0626-SM-5985Z,TCGA-34-5231-01A-21R-1820-07,GTEX-YJ8A-1726-SM-5P9IQ,,TCGA-DD-AACP-01A-11R-A41C-07,GTEX-13FTX-1026-SM-5J2O5
GTEX-Q2AI-1126-SM-48U19,GTEX-S32W-0926-SM-4AD5X,GTEX-11EMC-1426-SM-5N9E4,,TCGA-DD-AADG-01A-11R-A41C-07,GTEX-P4PP-2026-SM-3P61N
GTEX-132QS-1126-SM-5P9GC,TCGA-AR-A0TU-01A-31R-A109-07,GTEX-P4PP-1426-SM-3NM9L,,TCGA-DD-A1EE-01A-11R-A131-07,GTEX-11EMC-1826-SM-5A5JT
GTEX-ZTTD-2726-SM-57WFA,TCGA-A2-A0CM-01A-31R-A034-07,GTEX-13U4I-2626-SM-5SI9C,,TCGA-2Y-A9H5-01A-11R-A38B-07,GTEX-132AR-1526-SM-5KM1L
GTEX-V1D1-1926-SM-4JBGX,TCGA-66-2768-01A-01R-0851-07,GTEX-11ZVC-2126-SM-5EGJ1,,TCGA-BC-A10X-01A-11R-A131-07,GTEX-ZAK1-2526-SM-5S2N7
GTEX-139T6-1526-SM-5P9G6,TCGA-22-1012-01A-01R-0692-07,GTEX-145MO-2426-SM-5NQ9W,,TCGA-DD-A1EC-01A-21R-A131-07,GTEX-U3ZN-0726-SM-4DXT5
TCGA-HC-7821-01A-12R-2118-07,GTEX-T5JC-1726-SM-4DM6U,GTEX-144GN-1126-SM-5LU33,,TCGA-CC-5263-01A-01R-A131-07,GTEX-OHPL-2026-SM-3TW8R
TCGA-XK-AAIW-01A-11R-A41O-07,GTEX-ZYY3-1526-SM-5SIA9,GTEX-ZC5H-2426-SM-4WAZ6,,TCGA-W5-AA2U-11A-11R-A41I-07,GTEX-TSE9-2626-SM-4DXV2
TCGA-G9-6333-01A-12R-1965-07,TCGA-AR-A0U0-01A-11R-A109-07,GTEX-X5EB-0926-SM-46MVT,,TCGA-MI-A75I-01A-11R-A32O-07,GTEX-13OVI-1026-SM-5L3EM
TCGA-VN-A88R-01A-11R-A36G-07,TCGA-63-A5MH-01A-12R-A27Q-07,GTEX-Q2AI-0926-SM-48U1F,,TCGA-DD-A4NS-01A-11R-A311-07,GTEX-1399U-1326-SM-5IJET
