Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
PDZK1IP1,GAS1,PLCXD2,B4GALNT2,,,,,,,,,,,,,,,,
REEP6,FUT3,HNF1B,GPR128,,,,,,,,,,,,,,,,
TFR2,GATA3,FIGF,AVPR1A,,,,,,,,,,,,,,,,
DPT,DHRS2,HIGD1B,UGT1A9,,,,,,,,,,,,,,,,
IFI16,RAP1GAP,IL1B,ROPN1B,,,,,,,,,,,,,,,,
MAL2,SERPINB13,ADRA2C,CHST9,,,,,,,,,,,,,,,,
TDO2,CXCL10,GRB14,NECAB2,,,,,,,,,,,,,,,,
GOT1,RHOV,PDE4C,GCG,,,,,,,,,,,,,,,,
DMKN,KCNN4,CALB2,C12orf39,,,,,,,,,,,,,,,,
APOA5,CDH17,RAB38,SYNPO2L,,,,,,,,,,,,,,,,
MMP7,SCNN1B,GNAO1,C11orf88,,,,,,,,,,,,,,,,
RGCC,PRR4,SOX10,MAGEA3,,,,,,,,,,,,,,,,
ASL,PCOLCE2,INHBA,SLC16A6,,,,,,,,,,,,,,,,
C4BPB,FGFR3,PLA2G4F,RAB3B,,,,,,,,,,,,,,,,
ACSM2B,PDZK1,RASD2,RDH12,,,,,,,,,,,,,,,,
UGT2B7,GBP6,GATA4,ADCY1,,,,,,,,,,,,,,,,
SLC25A47,MUC20,SFRP5,TP53AIP1,,,,,,,,,,,,,,,,
INSIG1,SLC7A2,ATP13A4,SLC1A7,,,,,,,,,,,,,,,,
PCK2,ARG2,PI15,AKR1B15,,,,,,,,,,,,,,,,
TM4SF4,UPK3B,LEP,FOXN1,,,,,,,,,,,,,,,,
APOM,GPA33,CA3,GALNT8,,,,,,,,,,,,,,,,
TNXB,PHLDA1,PTPRH,TUBA3D,,,,,,,,,,,,,,,,
RGS5,CKMT1A,NUAK2,STK32B,,,,,,,,,,,,,,,,
PROC,EHHADH,NAT2,PGLYRP4,,,,,,,,,,,,,,,,
MT1M,AHCYL2,RETN,PAGE2B,,,,,,,,,,,,,,,,
GJA1,RND1,TTPA,NEK10,,,,,,,,,,,,,,,,
FADS2,TMC5,PCSK9,SNTN,,,,,,,,,,,,,,,,
ALAS1,CHRDL2,PLEKHS1,NGB,,,,,,,,,,,,,,,,
ICAM1,ACSL4,ACY3,HIST1H2AM,,,,,,,,,,,,,,,,
FBLN5,MASP1,MTRNR2L9,CDSN,,,,,,,,,,,,,,,,
MSMO1,TRNP1,CFP,CHRNA1,,,,,,,,,,,,,,,,
TPPP3,FGL2,GDA,CTAG2,,,,,,,,,,,,,,,,
SBSN,SYT7,TRABD2A,TM4SF19,,,,,,,,,,,,,,,,
UBD,ACTA1,VIP,MAGEA6,,,,,,,,,,,,,,,,
BDH1,DERL3,ITGA8,ADCYAP1R1,,,,,,,,,,,,,,,,
ELN,PRODH2,SHBG,ACAN,,,,,,,,,,,,,,,,
HGD,CRLF1,AGMAT,NPPC,,,,,,,,,,,,,,,,
AOC3,TUBB3,MMP10,TAC3,,,,,,,,,,,,,,,,
FOLR1,EVA1A,FOXJ1,VWA5B2,,,,,,,,,,,,,,,,
DPYSL3,RRAD,ATG9B,ALOX15,,,,,,,,,,,,,,,,
ACY1,GUCA2B,C2orf82,ASCL1,,,,,,,,,,,,,,,,
APOL1,DPP4,LDB3,CYP2W1,,,,,,,,,,,,,,,,
ACP5,ACSM5,ANXA8L1,PAGE5,,,,,,,,,,,,,,,,
PHYH,TTC39A,PRSS1,MAGEA4,,,,,,,,,,,,,,,,
AKR1B1,TNFRSF6B,ELF5,TCP10L,,,,,,,,,,,,,,,,
BHMT,GCNT3,GBP5,BNC1,,,,,,,,,,,,,,,,
MARCO,IGF1,PLP1,GCK,,,,,,,,,,,,,,,,
PHGDH,TMEM79,TMPRSS3,CCL26,,,,,,,,,,,,,,,,
TNC,AMN,CLPS,KCNJ3,,,,,,,,,,,,,,,,
SVIL,CRABP1,EGFL6,RP11-343C2.9,,,,,,,,,,,,,,,,
FMO3,RORC,CDH2,C2CD4A,,,,,,,,,,,,,,,,
LMO7,TMEM100,STAC2,AMTN,,,,,,,,,,,,,,,,
UGT1A8,TMOD1,L1CAM,LDLRAD1,,,,,,,,,,,,,,,,
FMOD,ASRGL1,GPM6A,APOBEC2,,,,,,,,,,,,,,,,
IGLL5,PROM1,NEU4,CHRNA4,,,,,,,,,,,,,,,,
MTHFD1,WIF1,CWH43,ZBED2,,,,,,,,,,,,,,,,
PGM5,NTRK2,KLK14,NKX6-3,,,,,,,,,,,,,,,,
PKDCC,CTXN1,PNMAL1,FOXI1,,,,,,,,,,,,,,,,
PDLIM5,AKAP12,TMEM171,TPH1,,,,,,,,,,,,,,,,
HLA-DMB,SLC38A5,PLCH2,CSN1S1,,,,,,,,,,,,,,,,
COL12A1,WFDC1,RBM24,SRL,,,,,,,,,,,,,,,,
ST14,CYP3A7,NXPE1,RFPL2,,,,,,,,,,,,,,,,
SORBS2,CYP2S1,EPHX3,ERVMER34-1,,,,,,,,,,,,,,,,
MYL6B,SPOCK1,CCK,RNF223,,,,,,,,,,,,,,,,
CAV2,SEZ6L2,SLC28A1,HBG2,,,,,,,,,,,,,,,,
LYNX1,TTC36,CPNE4,FAM151A,,,,,,,,,,,,,,,,
HPGD,AIF1L,APOBR,ARC,,,,,,,,,,,,,,,,
SCARB1,MIA,NRXN2,AC025262.1,,,,,,,,,,,,,,,,
KHK,DUOXA1,TMEM92,C5orf46,,,,,,,,,,,,,,,,
SCNN1A,SH3BP1,HSPA6,C14orf180,,,,,,,,,,,,,,,,
COL5A1,TCEAL2,MUC17,CSAG1,,,,,,,,,,,,,,,,
LPCAT1,GFRA1,SLC6A12,REN,,,,,,,,,,,,,,,,
CXCL2,KLK1,C1orf194,DKK4,,,,,,,,,,,,,,,,
GJB1,BMP4,RTN4RL2,HIST1H2AD,,,,,,,,,,,,,,,,
FAH,LMO3,MORN5,KCNJ16,,,,,,,,,,,,,,,,
C8A,MUSTN1,RBFOX3,DUSP9,,,,,,,,,,,,,,,,
MALL,AMDHD1,SLC22A10,PCSK1,,,,,,,,,,,,,,,,
SMOC2,NDNF,ZMYND10,HIST1H2BF,,,,,,,,,,,,,,,,
PPL,CAPN14,GAL,KCNC2,,,,,,,,,,,,,,,,
EPS8L1,AQP7,ANXA13,INSM1,,,,,,,,,,,,,,,,
MTHFS,ALDH8A1,HK3,PLA2G2D,,,,,,,,,,,,,,,,
IRF1,CDKN2A,CCL13,HIST1H2AI,,,,,,,,,,,,,,,,
CYP3A5,MUC4,COX6A2,SPAG6,,,,,,,,,,,,,,,,
PKP1,REC8,VSTM2A,GRPR,,,,,,,,,,,,,,,,
OLFML3,CYP2J2,HOXB9,VGF,,,,,,,,,,,,,,,,
GADD45G,VSIG10L,CCL11,CTNNA2,,,,,,,,,,,,,,,,
MPZL2,KLK12,CFTR,ACVR1C,,,,,,,,,,,,,,,,
F3,ABCA8,RSAD2,PTPRN,,,,,,,,,,,,,,,,
SLC39A14,FAM134B,CERS3,CDH15,,,,,,,,,,,,,,,,
