,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000112139,441.61372496979163,1825.64850212859,2388.260092701443,52.713825144403,7160.776219083831,103.77019054791899,1748.5252527807686,6172.904285133421,8.42216904240389,2729.9445160998675,1992.8012335881087
ENSG00000124701,16.758684375261346,2.075284024682387,2.274632917416441,2439.5730743520144,1.2584978151048576,3.571144424942883,1.5571393192142944,12.633361808715382,14676.068432075,1.3361744407735041,3.297024992610219
ENSG00000124731,7.168899655369239,545.8584205029946,54.80809739744479,1.7169459239362597,1.32557007486185,11754.75027918853,103.60208921671357,7.269364247224159,2.978131603108524,1.165205986280427,1041.422872805237
ENSG00000096088,11586.937372025925,271.1169511305632,539.9091958739276,9418.749500164698,429.25057789653613,376.53099711805385,429.2772419509336,894.3765822991853,327.52410460420435,173.93845284316097,464.34794388241187
ENSG00000135346,24.017560369976394,6.120560212508503,37.465314355430806,586.0562619370518,1891.0308634946632,1.919553589076976,10.308438481546045,1065.6450245587423,386.02883508380404,329.2579344964365,3.7999068685485877
ENSG00000135549,5808.345891480812,15.418684711761982,103.45857819250695,754.712093673035,7525.786127487694,2.111547225499044,33.73087595658133,53.607225592092426,1.3570887143184447,2193.312841591472,16.95123518259912
ENSG00000118520,50.61610238965037,10.001163317744565,5.993012615571601,34.4314184010453,1.1850354242272318,11364.039201070844,3.5381551059691616,1.4435966780765317,1.4361043196307717,8329.452986868822,63.45035668567398
ENSG00000112299,1560.1643657291547,989.4846429407617,89.17961133531182,323.30648976269435,1.1752371965934894,11057.443454169186,114.42664244271391,8.316303615359423,1.4693538457631317,27.39917223908074,1556.311810234089
ENSG00000112303,472.38815376570085,2540.069318257663,577.707914410365,93.0103428638797,2.9618151823821504,18897.285861213364,75.13019005019252,131.00426256477388,75.12357110367718,2.0152816018277147,2136.8300650321953
ENSG00000136244,468.5785402937212,7595.893830337834,3316.5521149689034,112.69926683074182,54.897629636967096,46.56425921890674,8205.068095857081,2841.601361949659,1093.7779547674174,215.56773490966611,8683.028570066985
ENSG00000011426,449.5312236739182,93.11674644096838,89.45714931246556,29.398837229761337,11309.833157645326,330.82145964762196,7832.4947089005,171.81267468883868,1.9643126760377565,4648.738891832875,58.4976329957476
ENSG00000106631,32.058616858062294,306.41453686526165,112.62240832989495,62.32662025566654,2295.387212718949,20.56433034199234,116.29459280241771,928.0006906438313,13285.71058499906,105.08852393325529,575.8041819308552
ENSG00000243566,2253.417717175846,1463.2968700127806,3062.6261398202587,87.12548312972076,1.6832709978931044,1885.9070640119683,378.180326433864,129.38871662864457,6.34026329109628,6211.723246039455,3298.918020571974
ENSG00000105825,98.94811638706817,3074.507664377921,414.5058719243694,1683.4847561420484,2.0013437160621037,4.57729335608826,11894.949228883532,913.2921470217243,283.7981153811101,1.7765775355201994,6451.111217984233
ENSG00000006128,503.9772035555009,2431.2891455177923,3865.271932344943,26.078226472461626,12226.557490077446,33.56141701655524,309.5690628490726,5054.875759489176,2.8218543439455086,43.04837075403003,790.4474895474793
ENSG00000158516,19.3466865365228,47.819953131458064,11.882116949661645,16158.1639451451,336.6108714959241,3.5957224442444726,6.768662520362476,16.245745866707107,1.531897730327471,2.9074801077715273,15.614640598086702
ENSG00000091704,92.20854473186218,1015.0480702157903,314.0429929950118,25149.087476582226,48.58836316638632,205.32349646866174,427.7769240239328,506.36794617444633,257.43646210914704,298.24627260600903,1536.7080320416796
ENSG00000204983,248.88731764496845,249.8852481900049,290.8620789734284,32101.709243790516,195.5308804316239,380.86397121551596,365.80336524673146,584.4921165815384,385.40507113153905,757.9513173060061,365.52883226576046
ENSG00000211772,7394.754728434823,5983.114128984559,7446.837663876312,1293.6867956199949,4297.083907604834,12814.956949559248,794.591604100527,4919.85654249227,1529.380237996057,2995.6346486205107,3272.7923374905613
ENSG00000159763,2089.131926923425,32.446927962108475,101.48011299723922,86.6589526981752,5.164691474085932,11.77868006972982,216.47889067224017,16.140264286107286,37.62076119162647,12637.752116085392,55.6262950709496
ENSG00000239839,23.368027629753186,340.78199781995744,332.98296868248985,10.242322538313381,668.3232732541283,15168.622773529978,23.614743454715345,139.88088546869898,792.4738867099942,2.300364100366976,318.20518389704455
ENSG00000164816,3888.667099725357,19.94833969511164,20.369345527593786,449.24063535303287,11.16075529772853,33.62197628435062,44.24482313877392,39.12770846617511,8.627216512556773,3.842514142799656,17.76709832618559
ENSG00000173535,49.236459607439215,612.2583916689962,907.4544413794781,79.404418137515,1.7932334383387398,11432.803438894538,2154.926367334722,63.21170873634635,2.4431911697863016,1.29191585990664,592.4110346453467
ENSG00000147454,3420.9116820809422,6728.961791371446,6456.271438427734,4556.082110575713,6486.385925893242,12186.100150945376,10589.384228254119,9104.66370236681,5998.574793564107,4023.950955165473,4327.002218890176
ENSG00000104435,657.9311910946712,131.51283130728808,35.12785757893012,424.339991285875,24544.979877516485,2.0335511323735997,6740.669928315182,814.3462904187498,1.5523096608437845,761.2750539526352,23.650318701451667
ENSG00000164879,2949.539612902333,1199.3166974541787,3981.1690774220597,294.1209713893227,812.8899383720785,225.85271500706986,583.8165149181002,2881.8132312278226,14268.229577368857,2146.603076576485,4032.1276568865583
ENSG00000104267,11603.408567405912,1392.0299855626113,3319.3186295558576,4653.057140964366,15324.594403274112,4981.682700909658,363.05656970812686,1482.6486551323362,7355.486219399131,7448.827743601396,1119.8221640997872
ENSG00000164761,165.6129175136458,1944.6243752809626,4625.068137012991,68.8438218736393,44.41931905324043,4.893432828321135,6947.418096938044,1448.5178280897148,59.33754132664399,1.554857036527268,11116.55792129131
ENSG00000136999,522.3322318230471,5336.6813818862665,6837.748326617711,1258.5675386749672,2333.0897269354227,16.929102008173263,4384.670380551662,19570.83219600513,1027.9568237868787,2764.0530698728867,9363.119890323556
ENSG00000042832,228.23496190702932,77.28475353646012,15019.217269878156,132.73615983727748,5.383176545947878,66.8109941459966,902.0256373035627,413.7342650404591,134.2106330610357,1242.631942328015,23.540305078581234
ENSG00000167653,7497.409191395659,4.070473165387717,12.626086842719882,273.85566370005677,2.4159753172529435,1.9095162090217834,1233.929599959839,5.8113100867436325,1.303550548563593,9337.173830557527,5.861273501715894
ENSG00000160886,14.69533346310331,196.39433230291087,312.6200636416709,80.12120546455482,589.1876995585532,1.7206442830309234,8217.465390765678,99.59122376335999,768.9286093202741,4499.652962187384,107.72031447249616
ENSG00000126233,1.2307207792387778,1.2010112325122804,1.2197496674571058,1.189490736413245,1.0990256184325573,1.1279449868097668,1.2925360856756536,1.2414087648144003,1.13928164172275,19320.219708200842,1.2085754848208663
ENSG00000160882,3.7449780863670386,37.45141892738388,196.43766681631408,4067.2544850702056,2.603285500949831,2.514550660116836,12.45187227381132,1492.7505462869485,4.301205564135227,2.2750153276724707,25.347165322794538
ENSG00000165272,9487.12435638862,2277.5011430929194,2722.672812593243,4425.1946947541755,145.7880582972123,3721.6650309817805,1267.3927294190123,2205.8997741325506,3298.9822173688663,20686.198157681283,4368.286827556826
ENSG00000168913,2364.498108800001,215.3324972895647,420.6149634656695,407.34878139653983,27105.758045715782,33.692314030592655,116.32307453288047,394.77963658073855,15.643659896218876,2110.2725746490783,74.62400090261427
ENSG00000213927,10.525862979567162,160.30823498758934,697.4624758319347,18.930579604685416,2518.847462425905,1.6397581441906683,1073.9439334793924,2582.438630657317,4.617317276832954,9620.6803387505,100.29611170304533
ENSG00000172724,4933.5112994377905,6688.18365876953,5516.591047314829,358.58273207641395,140.92043214494356,46.20954250827162,873.5716157960231,2726.8422734551345,28.61698298456642,5602.61840148422,11267.193194611526
ENSG00000215187,124.9307474593804,2385.3108671121295,1121.8660298774444,149.27556798899198,214.511044358253,5.192380770203768,298.13264855290373,5865.74582923747,7103.046848957732,714.6295766126385,4986.235977783547
ENSG00000123975,6001.816996088286,3918.286504302872,4317.974155384651,2339.676273602352,5204.594159715305,4699.779705346712,15135.375960742986,3570.52853803945,3398.972126802088,5653.751585505307,2484.0820436828585
ENSG00000130222,3266.2522314893627,7137.89378851513,6746.787963610899,6513.916864679305,6699.084618146116,2543.122753156442,2037.453906930196,17452.93611468306,11083.655063808495,5340.6518538143155,8844.322084488955
ENSG00000229314,1909.046992132974,250.2660172111932,178.74253589244557,5803.5882534588345,12.066089795522611,8687.250343609501,140.42912659954595,52.90294096644829,151.66314274515554,22.026373809059947,906.6129382607671
ENSG00000160401,189.60850664472534,51.20352125234316,4823.852987356761,208.68664706271608,2754.6615898551695,38.44332253148316,1023.9362645654737,220.32436666213752,5.692450343332209,117.27956646460676,45.51792690452305
ENSG00000148346,11487.081455237318,47.15101557451756,144.40155733556549,2214.3493049710505,1.9492824213093671,10370.277389237668,525.7175650913143,12.901132773562194,6.851681861229548,9938.396993794144,89.7648404117261
ENSG00000085265,67.29556488573415,1594.4046602488554,169.58467549936543,7.608533154629858,1.2393589645722551,14518.249498166311,16.156876139338998,21.515672823795903,8.312722504604539,2.2506751171840618,1229.0283097317094
ENSG00000197191,1237.0538670136957,169.60798897689574,2781.6661205449773,670.01952473479,4421.184835579332,11.477633285083135,1509.3872428994998,1014.3912160354892,4.658789847143027,14620.915685287118,78.93484442261521
ENSG00000178372,48.71685014782816,115.22413736514001,52.06991783970074,39.09033634254773,12.12443250922296,52.146714326991884,491.6817846745332,80.3595848703171,498.61492302424466,25146.490200488468,151.8699070965905
ENSG00000178363,1.7358572504605767,1.1355107237999553,1.2709744095274045,1.3640052200121853,1.087822784085938,1.0970958007841316,1.3105402951891434,1.1516333123808373,1.1190907543082727,16108.370472832348,1.1591105377859372
ENSG00000152463,23.2601953023794,1137.9713141172178,777.788955419765,186.1395167046358,2.112647726346227,5631.352307288946,3075.450191708697,587.3040995698036,3.0423773955041646,176.97186188376187,925.9683034148129
ENSG00000077943,1674.5816691737875,4093.6842101767397,3663.3534338665218,100.66730272707522,76.03411064331189,9.530929006228774,993.4200003702686,15854.18934107967,802.9274502471904,1189.12550127687,12539.841741429502
ENSG00000107984,11.335566481294956,263.05662697404466,21.751566511295113,3.1737610709858974,49.640083764266514,2.1819166410488635,14857.384337668509,18.5905382400136,1.7485952621112373,3553.725598547455,158.74257221513295
ENSG00000075073,1506.9469014598446,210.43071041220233,98.99602092595626,37.3355138529721,63.7491385578051,1.5690668572827027,197.8313561795577,16170.441851334128,682.4708943064389,1056.819931126697,53.85771734552382
ENSG00000148600,3003.2485605848465,4.107136070095193,10.772519937149667,4.471791644062588,6725.791370809652,257.262573114926,5.921723996002405,9.447812173335395,2.5449774297457384,12507.701296155012,2.783713898346994
ENSG00000182333,6319.072202402075,226.42167592201292,334.45598794601256,9014.713221832939,273.15287917944033,96.0001179456882,457.32027812631895,1024.0651739833193,321.12517815005094,224.7805746068653,148.4685250899704
ENSG00000138207,1633.7914063307694,15985.698256048932,3018.5343345315678,4762.626232135282,8376.254848491044,103.1069533005768,3725.9866618738365,2330.5289438285167,703.2448379329222,370.36316492902694,9202.028697265248
ENSG00000165887,2.424499196981523,8.44187783419355,7.844014875368948,4.899498341954163,1850.1277651101395,6.368517426811049,690.7495908369513,43.90657514071914,15867.615232433347,1136.670131074302,27.241830159992087
ENSG00000119927,914.9316221339565,9633.78858693011,2903.3429052572524,1996.300158613512,4960.628113239445,7.838721372783155,7758.3613665558305,4592.646988654782,2414.9992441730064,319.92735519429334,5293.563433699963
ENSG00000175535,26.010864908362873,37.14324462535854,32.36029608503662,22407.64246884354,9.080966752725,57.32428485407821,38.944479075277066,42.35114275444181,46.256581941793854,141.37426424876358,39.43899747202818
