,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
ENSG00000250240,10.364377618057635,24.88548664810831,8.578419048040734,23.35463390334668,40.9335065608791,7.374945803466205,144.91492767997164,33.79678082465839,19.562444235392352,49.55235843971082,56.967783614172305,9.977861580872837,3.3433109799488863,21.52942150579737
ENSG00000173221,3142.360223559288,527.166352886429,2336.2680879682207,695.2688252353813,2268.3837498536313,672.2576521701168,3046.5773405203436,1772.5757984898994,1376.8018611579448,2137.7855929245493,1188.7260502418706,14530.75823527568,128.97600034017458,1106.6572504837827
ENSG00000118985,1476.3181250367356,1120.6540892101398,586.8331604019891,1254.6751954479878,1684.5156686321416,2130.3498839032695,7920.9831404794295,9976.671671749555,1888.0066602327795,6043.308528116715,2731.3465668021263,1583.5727470914412,2330.8875871477,882.4047244356699
ENSG00000249180,20.940503109360442,41.830181490584046,54.5941981290045,49.689025439462156,43.08573905480484,79.90282963260604,123.04557217807552,113.34372977165037,116.4104334371456,40.3707109017643,88.16391893532737,25.319624745777812,77.39045725064742,8.103680951323204
ENSG00000164308,140.45127736021743,305.1047090162493,529.8112955521907,236.38889535316147,1745.7293352586632,257.7348381505084,1221.497197664117,1048.6223530532907,256.9222263579363,689.4070046913338,1144.657906533437,107.19166491726925,245.75402383102022,73.21943173527472
ENSG00000174136,483.2586171405736,961.6963148001009,47.81538653673311,617.5483364335323,858.6632244101764,1236.025340636741,459.3569410351419,4934.039283723322,336.1960750332769,1353.7268070170921,1055.450180452543,763.1848359931171,281.59416196128353,632.0008587724416
ENSG00000113532,52.06819886004389,124.9161659996571,945.9526228282289,118.59906676559119,588.3360977134284,31.1285879373343,493.1440838130641,124.88214126065316,70.2146649410989,51.99934348934074,293.4638199878803,18.156612678379247,22.50162122834701,67.43723697026658
ENSG00000145730,8301.190322748134,1640.2159315840142,664.5262333484824,2694.080969345351,1439.7551301372762,1166.78798250037,14141.407497247745,20353.533040699327,29708.677831184177,5663.83037897386,6594.059261725375,1302.8988148136702,477.4411771143403,1715.4875249902966
ENSG00000246859,76.17141976760233,220.54949181949092,13.639611809728319,83.17507670542692,180.51251829989812,73.83293903374113,167.29011254584742,489.4338132344762,99.45268638667085,280.2945943737373,229.72848410949706,54.484166057979394,32.513989494219295,376.8454911959028
ENSG00000134986,266.09775224506745,674.2224866669411,63.8223847939656,309.4327957901513,383.72256824812354,157.68397092738917,332.0971571365919,1110.8109244318427,278.36209625357856,831.964227173548,650.3281140030906,216.9542708325956,104.80143093688903,2047.1465588773792
ENSG00000129596,430.82960490118256,805.0519520738727,167.4829007359639,1303.390083862581,239.30317678222198,125.9758798963106,9468.443626966518,1838.813302958528,1559.5934143559718,853.7553155525602,1555.9340657627738,408.0715581200809,61.56613702699889,1715.1257260750203
ENSG00000113083,224.37844931085738,319.65708745734094,64.68657199311816,415.2980952563598,204.1606756728795,839.0158242627494,2713.891947015493,4198.744131809805,1284.3312042774198,10794.493676050106,1646.503312933549,97.91287806324996,99.5721496361153,68.87201669725361
ENSG00000113368,72.93138275357443,187.84990346573414,3136.76679066988,126.9992772618364,3984.0533606405907,366.4851075047329,256.7683163892019,405.8381112160948,139.17379716517274,1689.7668198056954,317.3410428518282,71.10702166386173,572.0671806286911,254.1836246795572
ENSG00000064651,291.6322416782541,812.0807397809604,64.80694452445334,1097.7053491046076,1656.4580523826303,2260.173908550386,701.217883447503,2673.984668968501,268.77188734160444,521.9467987540668,1089.0921650678615,614.5646250334628,251.5733802245305,848.5645802858065
ENSG00000131435,387.2872040163765,1326.3636819382189,101.81089296354376,1574.4046145030754,955.8092885970384,3090.1871088626303,2714.9392119918543,17624.152574374475,1959.1139658393975,2175.516390948143,1389.989732321002,202.10879455938112,1527.9385466610493,473.22071997798685
ENSG00000197208,165.28379521739697,96.71283479738887,2923.44015811325,132.49312023149878,125.23585547811487,82.21773826784941,251.39918706120176,259.1403090335752,129.94630330413634,270.2193258082311,121.17970756918226,398.2265050677881,19.439012528602515,163.11066213127307
