i_doc,doc,Topic 1
210,GTEX-ZLV1-0526-SM-4WWD4,1.0
211,GTEX-RM2N-0726-SM-48FD5,1.0
212,GTEX-13CF3-1726-SM-5LU9E,1.0
213,GTEX-ZY6K-0526-SM-5GZY9,1.0
214,GTEX-P4QS-0626-SM-3NMD1,1.0
215,GTEX-1O97I-1826-SM-EXUS9,1.0
216,GTEX-1RNTQ-1126-SM-E9TK9,1.0
217,GTEX-1IKK5-1326-SM-AHZ2X,1.0
218,GTEX-11P7K-1226-SM-5HL4X,1.0
219,GTEX-14PK6-1126-SM-5YY93,1.0
220,GTEX-1IDJF-1326-SM-A9G2R,1.0
221,GTEX-14BIN-2626-SM-5YY8U,1.0
222,GTEX-NFK9-1226-SM-3LK79,1.0
223,GTEX-1AMEY-0326-SM-72D5T,1.0
224,GTEX-1L5NE-1426-SM-DHXKV,1.0
