i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
284,GTEX-11DYG-1326-SM-5N9DO,0.11496144844346654,0.10182142923854973,0.16566308556269158,0.12903068627087014,0.09768331178494308,0.032693096777503886,0.0037886903656756295,0.0841848785275754,0.22936408791462282,0.04080928511410121
285,GTEX-1AMFI-0326-SM-731CU,0.03163340153380111,0.06107791421014949,0.032790300265745045,0.03444694721566448,0.03398772580884558,0.027140982957042186,9.480810800839398e-05,0.024732787079680803,0.021558334992286775,0.732536797828776
286,GTEX-1HKZK-1426-SM-A96U1,0.09257667713279859,0.06521506540970759,0.18048762042016864,0.13909804748091503,0.08151954684254899,0.026431834538868538,7.095340989042977e-05,0.06685430483629372,0.333620876880326,0.01412507304848255
287,GTEX-W5WG-1626-SM-4LMKG,0.08950736913005101,0.0644365945654838,0.19221297503159582,0.13255879834466222,0.07237042689501035,0.027678557611175204,6.455901129545404e-05,0.0707573452689563,0.32686829196163836,0.023545082180131533
288,GTEX-OHPM-0726-SM-3LK7A,0.027126584531730794,0.056412227956103796,0.029615399209228163,0.03067895864553722,0.0256902808952194,0.042783222076878964,9.906602022228369e-05,0.021573061071988905,0.017082041488599146,0.7489391581044914
289,GTEX-15SB6-0926-SM-7KUFM,0.027162656572187117,0.055286283145342195,0.033074187048785786,0.02141812827471191,0.01805181786586391,0.02209148317456846,3.571837747842761e-05,0.025743164232660033,0.019647297230414047,0.7774892640779881
290,GTEX-1B8KZ-0826-SM-73KYB,0.012241078337177497,0.0327403226735562,0.015271030158757087,0.0127224053878829,0.009193726680237713,0.030788357903060722,7.977070664895722e-05,0.011878788035413796,0.008890728095703562,0.8661937920215615
291,GTEX-1JMQK-1826-SM-CY8I1,0.11686088166529005,0.11053358785300878,0.09216707880008142,0.19290079416928932,0.26386519469090125,0.013836862276056008,0.005113935408128806,0.05106803938095222,0.07779260709717467,0.07586101865911765
292,GTEX-XUW1-1526-SM-4BOOY,0.03615060019285744,0.069594568576965,0.03795036090395032,0.04527501830408227,0.04155863592446724,0.039032138929013964,9.296098347213724e-05,0.02444114694717108,0.023156121153315574,0.6827484480847049
293,GTEX-1B97I-1026-SM-73KVC,0.052390531612692394,0.08599970275682658,0.057571529702916506,0.05811489936282182,0.06375590808248051,0.021690498119357898,4.2065316383899586e-05,0.0373130089114331,0.040583409567346025,0.5825384465677413
294,GTEX-1MA7W-0426-SM-E9TJ5,0.08952867262995398,0.07251614949253145,0.1627967776933102,0.12505867403294166,0.08139026321271124,0.030384545701121462,9.595213776385232e-05,0.06694455969914334,0.32504846083978356,0.04623594456073935
295,GTEX-13X6H-1426-SM-5SI91,0.031076569748715793,0.05927646758861268,0.036948544835445254,0.034382562788850095,0.036809076652937874,0.013526790086774447,6.749157971846142e-05,0.01921503147492516,0.022616799505440852,0.7460806657385793
296,GTEX-145LT-1326-SM-5O9AQ,0.059372401294445924,0.09303286907526095,0.06134500680151848,0.0628120123975492,0.06392373282656852,0.04381285549228398,0.0022778889914079237,0.044007330457787174,0.04285108772198924,0.5265648149411886
297,GTEX-13FH7-0526-SM-5IJF8,0.10549001382611238,0.07836113609487422,0.18802335971257408,0.12019733051236464,0.08154830888411306,0.02271364660625863,6.830969218187268e-05,0.07754553108397466,0.28178949137356796,0.04426287221397854
298,GTEX-PLZ5-0826-SM-3P5ZW,0.09041055850686995,0.11681030414286583,0.08689435713103837,0.11036358886436155,0.12615418873615108,0.0344080021444666,0.00020127730483680926,0.052124670336561145,0.06313339706242181,0.31949965577042694
299,GTEX-14E7W-1926-SM-5S2R9,0.06544544099575059,0.11352369303647422,0.07600532785843277,0.04408861031089986,0.041439652091307976,0.02849467032826201,0.0010922551775784254,0.06164228680752973,0.048566037697629606,0.5197020256961348
300,GTEX-1HGF4-2826-SM-ADEII,0.07958794916400762,0.12262605507643294,0.06605807387654532,0.10548768506713074,0.1382840240831265,0.014865695608790155,0.13090202800027775,0.037641097997456074,0.05068389319956134,0.2538634979266715
301,GTEX-1399U-0626-SM-5J1NZ,0.1084913581900266,0.12530119387859284,0.09394307057279574,0.13645261979698048,0.1986128518458418,0.032003265690348545,7.767119149880712e-05,0.04609051048064654,0.0780379421399082,0.18098951621336049
302,GTEX-1R7EU-0426-SM-EVR4H,0.06080490346505214,0.13084140569692992,0.049919597551146284,0.06444280555223411,0.08144701064269425,0.014821391249211254,0.00034844106183690225,0.027003123875503476,0.03532862589857292,0.5350426950068187
303,GTEX-R55E-1126-SM-48FDZ,0.05173118860979676,0.14065684809069748,0.04440137451898821,0.034798646604229114,0.03777713913594919,0.013591303697089914,0.019828433303672073,0.03667741900771074,0.032316566549749695,0.5882210804821167
304,GTEX-PLZ6-0326-SM-3P61J,0.08903599735553475,0.15362649085820076,0.08168966951339757,0.07903156747712028,0.10562446041666972,0.016950682426889185,0.0006348547671910956,0.04835709297198613,0.05490960358890278,0.3701395806241077
305,GTEX-11NV4-0526-SM-5N9BF,0.042329606874739474,0.11574366961599487,0.03836772608228254,0.03600108753895107,0.03451759209360493,0.023939393568983846,4.514179466856802e-05,0.030534497415709308,0.02636054627413911,0.6521607387409264
306,GTEX-X4XY-0526-SM-46MW1,0.08281216012236861,0.16045995435389812,0.07292463909196589,0.07023930552422387,0.07344775022722523,0.014441278846574215,0.00014947717774357636,0.04205458069010867,0.055588860527026225,0.42788199343886546
307,GTEX-13X6I-0926-SM-5LUAB,0.12804896666321727,0.15418691230755696,0.09656031158456559,0.09658235808497785,0.12979711653791387,0.020265839531596448,0.06508202664704378,0.06441577805994131,0.09514293258814882,0.149917757995038
308,GTEX-1HBPH-0326-SM-CM2S8,0.06851256636355824,0.13588992888751228,0.06230461684708603,0.06096811145264,0.060918370472926836,0.04996513340377266,0.0006297029175224094,0.05255082152302322,0.04516260919364436,0.463098138938314
309,GTEX-11TUW-0926-SM-5EQMW,0.12558846804039955,0.1801067467027272,0.10603893333514557,0.08745705590106685,0.093195675180075,0.014246805971203653,0.0004457186704183183,0.07189492146430891,0.09088679951012378,0.2301388752245311
310,GTEX-YJ8O-0126-SM-5QGRG,0.08296606388809301,0.16469309360254059,0.08549519228840065,0.07578997593418786,0.07941509945747675,0.04047351199194597,0.00015552910800688486,0.062009121668219064,0.05982553578459368,0.34917687627653565
311,GTEX-1IDJU-2326-SM-ARL89,0.08557418916040989,0.14471778834507215,0.07646339866721395,0.09537565394041062,0.1238103896375075,0.020912904175950573,0.00041979880817579824,0.03895142999193112,0.05069987042319918,0.3630745768501292
312,GTEX-OXRO-1926-SM-2S1O3,0.07298838535737583,0.14466787776333306,0.058703992900529044,0.07197773670356276,0.08713064834996138,0.017581642948338107,0.0003614478951212081,0.0442056416541443,0.04918656367937401,0.4531960627482603
313,GTEX-TMMY-0626-SM-33HBD,0.056682888781151804,0.09984940212714732,0.05082682337069998,0.06926590606042606,0.07869500606024732,0.03897615546518609,0.004496493788664592,0.028821101709699423,0.031743101174249284,0.540643121462528
314,GTEX-ZTPG-0726-SM-5DUXP,0.12888706059105906,0.14266715481746983,0.10962924065234549,0.12517396444597564,0.14438992805003317,0.03643458016165965,0.0031204804993360076,0.06121646115555745,0.08948049014671595,0.15900063947984772
315,GTEX-14PJN-2226-SM-6872I,0.051620780271078526,0.0993888270607873,0.04591094209548174,0.07125621269755064,0.09189520461202762,0.013079832952301728,3.231416389531101e-05,0.020733439612247436,0.03146761652192244,0.5746148300127073
316,GTEX-14PN4-0426-SM-6AJ9N,0.07787226988688682,0.13274399863319836,0.06593594235821225,0.0785771873888382,0.08403576741408884,0.025436822198676438,4.1265150854374936e-05,0.04174252823673214,0.04505507235592319,0.44855914637658945
317,GTEX-ZZPU-0226-SM-5N9BV,0.1319496317451343,0.12008278106631562,0.10489672605136888,0.14042885267709257,0.20034207082789468,0.02596377037839945,0.0017761383052141433,0.06355165594036111,0.13328701584484542,0.07772135716337371
318,GTEX-1I19N-1926-SM-CM2TF,0.06374390211811028,0.1328690537321783,0.060093701287484154,0.06286434843993113,0.07101747473913951,0.01888904261371001,0.0036299833504651897,0.044700098884505296,0.04340016130028178,0.49879223353419444
319,GTEX-1122O-0426-SM-5H12G,0.06890426689725393,0.11768733401489272,0.0604666935442113,0.07805067845068851,0.09478625445530452,0.029684140201536206,8.057580298431414e-05,0.036122522639509456,0.04225192730562505,0.47196560668799387
320,GTEX-1EU9M-0426-SM-7SB8N,0.070934739898939,0.1398840765242144,0.06635778742453298,0.05666985271717265,0.05592727304304345,0.026327196924671396,0.0005026051756911148,0.046064313278013504,0.04482010235658656,0.4925120526571348
321,GTEX-14C39-2626-SM-5S2QD,0.07405023146714253,0.1383326695202906,0.061052364907381654,0.08110598162949974,0.0933935054586411,0.02170519374799806,0.0005639621823147008,0.033144683383301454,0.04593616220925497,0.45071524549417513
322,GTEX-1EKGG-0826-SM-79OLL,0.06778466919950427,0.15069979561154873,0.061956501711022745,0.04920214359233335,0.05093980713147303,0.019983352910817334,0.0001386258244129105,0.043606147995564525,0.04089117436494405,0.5147977816583791
323,GTEX-1M4P7-0426-SM-DKPQG,0.060926553930753066,0.1331263895616822,0.055977782666301254,0.05269425120757593,0.055746158774587086,0.017202030629269876,0.02094820710234649,0.03747383185854483,0.038675497395191306,0.5272292968737481
324,GTEX-13O3O-1126-SM-5KM4Q,0.08564418930835531,0.1604985497434546,0.07907753747411543,0.07346690478785353,0.0778284473349991,0.022544648256231783,0.014460975250476205,0.05357110926576834,0.056191192633568116,0.3767164459451776
325,GTEX-146FH-1326-SM-5NQBI,0.11059592195882093,0.15756447809273302,0.1089400384242051,0.09418771895376732,0.12148580930281663,0.028919127262126452,0.0020483460186149884,0.06220872611252508,0.07849438442987174,0.23555544944451887
326,GTEX-PWCY-0426-SM-48TCW,0.05474677293403607,0.10043322600221,0.05219085818123645,0.059919148088916456,0.07890809228696177,0.023955824749689686,3.633461201163798e-05,0.02731128483750479,0.03379552042434472,0.5687029378830885
327,GTEX-16XZZ-1426-SM-7KUE3,0.0948320869025956,0.14358744836581194,0.08098547485340436,0.09033231046804273,0.10039315931776965,0.02895577058255238,0.07091806914368365,0.047070327208052994,0.060942305335005637,0.28198304782308103
328,GTEX-14ASI-1126-SM-5QGPN,0.07985203184257783,0.1585423607127021,0.07124749878782276,0.06117359758027207,0.06522639429519017,0.013265338443287054,0.16995413115212024,0.06106756730667409,0.05309505530207089,0.26657602457728297
