Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
ENSG00000260078.3,ENSG00000161798.6,ENSG00000138829.11,ENSG00000211862.1,,,,,,,
ENSG00000254098.1,ENSG00000204655.11,ENSG00000131668.13,ENSG00000278775.1,,,,,,,
ENSG00000211912.1,ENSG00000170442.11,ENSG00000117983.17,ENSG00000227032.1,,,,,,,
ENSG00000111241.2,ENSG00000173868.11,ENSG00000170775.2,ENSG00000259950.1,,,,,,,
ENSG00000183625.14,ENSG00000163736.3,ENSG00000160181.8,ENSG00000148704.12,,,,,,,
ENSG00000230088.1,ENSG00000163631.16,ENSG00000112139.14,ENSG00000213231.12,,,,,,,
ENSG00000267423.1,ENSG00000196734.8,ENSG00000160182.2,ENSG00000231604.2,,,,,,,
ENSG00000211914.1,ENSG00000171777.15,ENSG00000066230.10,ENSG00000214237.10,,,,,,,
ENSG00000227800.1,ENSG00000197353.3,ENSG00000104327.7,ENSG00000267123.5,,,,,,,
ENSG00000222335.1,ENSG00000005844.17,ENSG00000177455.12,ENSG00000248599.1,,,,,,,
ENSG00000253209.1,ENSG00000197191.4,ENSG00000196805.7,ENSG00000130561.16,,,,,,,
ENSG00000118972.1,ENSG00000165178.9,ENSG00000276085.1,ENSG00000101448.13,,,,,,,
ENSG00000224607.4,ENSG00000197888.2,ENSG00000153802.11,ENSG00000244067.2,,,,,,,
ENSG00000239862.1,ENSG00000163737.3,ENSG00000043355.11,ENSG00000105398.3,,,,,,,
ENSG00000155269.11,ENSG00000214212.8,ENSG00000162992.3,ENSG00000230873.8,,,,,,,
ENSG00000237127.1,ENSG00000117091.9,ENSG00000159450.12,ENSG00000230805.6,,,,,,,
ENSG00000242580.1,ENSG00000104918.7,ENSG00000263639.5,ENSG00000257797.1,,,,,,,
ENSG00000229390.1,ENSG00000261040.6,ENSG00000210117.1,ENSG00000276568.1,,,,,,,
ENSG00000211684.2,ENSG00000106541.11,ENSG00000185640.5,ENSG00000122133.16,,,,,,,
ENSG00000231392.1,ENSG00000280411.1,ENSG00000164266.10,ENSG00000254586.1,,,,,,,
