i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
108,GTEX-132NY-0326-SM-5IJBL,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,1000.01,0.012999200000000002
109,GTEX-132NY-1426-SM-5J1MJ,361.306,0.0105647,329.777,235.002,34.8573,39.1788,0.013169899999999998,0.012999200000000002
110,GTEX-132NY-1726-SM-5EGKK,600.6659999999999,0.0105647,0.0332931,266.637,132.761,0.0245798,0.013169899999999998,0.012999200000000002
111,GTEX-1339X-2626-SM-5K7YX,0.0173368,0.0105647,683.465,0.030206900000000002,45.2719,271.337,0.013169899999999998,0.012999200000000002
112,GTEX-133LE-0326-SM-5P9G4,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
113,GTEX-133LE-1526-SM-5IFEN,0.0173368,0.0105647,0.0332931,320.95,0.0160503,193.032,486.086,0.012999200000000002
114,GTEX-133LE-1826-SM-5J1MV,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,1000.01,0.012999200000000002
115,GTEX-1399R-2626-SM-5KLZ7,0.0173368,0.0105647,434.91900000000004,142.813,0.0160503,150.56799999999998,0.013169899999999998,271.801
116,GTEX-1399S-0926-SM-5PNVQ,0.0173368,98.5058,572.056,0.030206900000000002,56.0856,273.437,0.013169899999999998,0.012999200000000002
117,GTEX-1399T-0426-SM-5PNVJ,0.0173368,39.7844,365.606,471.73,59.1616,0.0245798,63.8213,0.012999200000000002
118,GTEX-1399T-1326-SM-5PNVH,0.0173368,0.0105647,488.593,151.002,0.0160503,196.44400000000002,0.013169899999999998,164.063
119,GTEX-1399U-0626-SM-5J1NZ,0.0173368,0.0105647,928.3430000000001,0.030206900000000002,0.0160503,71.715,0.013169899999999998,0.012999200000000002
120,GTEX-139T4-0326-SM-5K7XN,507.584,0.0105647,0.0332931,204.122,0.0160503,0.0245798,0.013169899999999998,288.355
121,GTEX-139T6-0326-SM-5J2LY,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
122,GTEX-139T6-2026-SM-5IFFL,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
123,GTEX-139YR-1226-SM-5IFEU,0.0173368,0.0105647,149.05100000000002,743.19,0.0160503,107.84700000000001,0.013169899999999998,0.012999200000000002
124,GTEX-13CF2-0011-R11b-SM-5LZXO,0.0173368,0.0105647,0.0332931,0.030206900000000002,821.0060000000001,0.0245798,0.013169899999999998,179.023
125,GTEX-13CF2-0011-R1a-SM-5LZY1,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
126,GTEX-13CF2-0426-SM-5KM1H,316.387,0.0105647,0.0332931,519.616,164.06,0.0245798,0.013169899999999998,0.012999200000000002
