i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
44,GTEX-11P81-1126-SM-5GU5G,0.255200474240138,0.030367536106919595,0.33746497089890065,0.020451605949558093,0.35511424876050873,0.00137421858159086,0.0,2.694546238413451e-05
45,GTEX-11P81-2726-SM-59876,0.22746303962152573,0.049107037256061505,0.4018923713778829,0.012134831460674157,0.30682436428149024,0.0002602010644589001,0.0012300413956238911,0.001088113542282673
46,GTEX-11P82-0006-SM-5N9FY,0.17901287924626155,0.01237790647419829,0.00112369262684761,0.1277206327253868,0.12566341083931196,0.00036303915636615094,0.0,0.5537384389316277
47,GTEX-11TT1-1126-SM-5P9GV,0.3200420357303708,0.055066806785767905,0.18333583546014112,0.030265725866986937,0.4100585497673022,0.0007206125206425461,0.0,0.0005104338687884702
48,GTEX-11TT1-1326-SM-5PNYM,0.3865027571204533,0.19481964890979916,0.12161683614104316,0.021753427429554308,0.2738908281479233,0.0012647341528810644,0.0,0.00015176809834572774
49,GTEX-11TUW-0926-SM-5EQMW,0.35205662393162396,0.04797008547008547,0.18528311965811967,0.020245726495726497,0.3891826923076923,0.00037393162393162396,0.003472222222222222,0.0014155982905982906
50,GTEX-11TUW-1226-SM-5GU7C,0.2978035361807568,0.0321700054596615,0.2925118642644156,0.022468606946369325,0.3520221746251732,0.00012599218848431397,0.0,0.0028978203351392212
51,GTEX-11TUW-2026-SM-5EQL8,0.2638678387390118,0.03728402546226129,0.3120339496817217,0.020854804486207943,0.36462564413458626,0.0007578053955744165,6.062443164595332e-05,0.0005153076689906033
52,GTEX-11UD2-0626-SM-5GU6L,0.3461565136978384,0.05453704774014565,0.18617500866951797,0.027603745231765113,0.37780603398451046,0.0005779678649867067,0.0,0.007143682811235695
53,GTEX-11VI4-1526-SM-5EQKC,0.3618779429415566,0.0839257686270889,0.12547317883851908,0.03979318622472532,0.381359061951805,0.007524697627181239,0.0,4.6163789123811284e-05
54,GTEX-11VI4-1926-SM-5CVLI,0.27699284304047384,0.08998642645607108,0.31564659427443237,0.0528751233958539,0.2633576011846002,0.0008637709772951629,0.0,0.0002776406712734452
55,GTEX-11WQC-2426-SM-5EQKQ,0.36834066693334305,0.04080148369031601,0.18364304156514782,0.03523764500527292,0.3700498199934543,0.0008727590094185243,0.0,0.0010545838030473836
56,GTEX-11WQC-2626-SM-5CVLF,0.30388988629563135,0.11669658886894076,0.3248753241571913,0.009654897267105526,0.2438061041292639,0.0007580291242768801,0.0,0.0003191701575902653
57,GTEX-11WQK-0008-SM-5SI6T,0.36294901960784315,0.0176,0.08395294117647059,0.0203921568627451,0.5077647058823529,0.006713725490196078,0.0,0.0006274509803921569
58,GTEX-11ZTS-1126-SM-5LU9X,0.32769340920224593,0.06990240042205223,0.16535403399027773,0.038135433545615556,0.3782643102083883,0.0013942796849681577,0.0,0.019256132946452124
59,GTEX-11ZTS-2726-SM-5EQLU,0.28371263217440496,0.04051172707889126,0.2947217266437492,0.025673382359340323,0.3333188285975371,0.00047865628127583654,4.3514207388712415e-05,0.021539532657412645
